Mutation,TP,FP,FN,TN
6:133171139-133171139,0,3,10,25
3:62760359-62760359,0,4,10,24
8:75889867-75889867,0,4,10,24
9:46109143-46109143,0,3,10,25
2:27740392-27740392,0,4,10,24
12:34581156-34581156,0,4,10,24
X:30915533-30915533,0,4,10,24
10:6816899-6816899,0,3,10,25
20:14972100-14972100,0,3,10,25
3:78726245-78726245,0,3,10,25
9:141027565-141027565,0,3,10,25
18:9101386-9101386,0,3,10,25
8:75995336-75995336,0,4,10,24
13:68232219-68232219,0,4,10,24
10:57733003-57733003,0,3,10,25
16:19415333-19415333,0,3,10,25
10:38746128-38746128,3,0,7,28
3:2599891-2599891,0,3,10,25
2:202077570-202077570,0,3,10,25
8:34299887-34299887,0,3,10,25
1:149880212-149880212,0,3,10,25
8:140198030-140198030,0,4,10,24
12:65662083-65662083,0,3,10,25
12:64079322-64079322,0,4,10,24
15:79017442-79017442,2,5,8,23
6:32845117-32845117,0,3,10,25
5:44710498-44710498,0,4,10,24
13:57605025-57605025,1,3,9,25
10:38617221-38617221,1,3,9,25
13:56869158-56869158,0,4,10,24
12:4332464-4332464,0,4,10,24
5:163622084-163622084,0,3,10,25
8:123714571-123714571,0,4,10,24
19:44973852-44973852,0,3,10,25
1:5382730-5382730,0,3,10,25
16:71139028-71139028,3,0,7,28
17:79337778-79337778,0,3,10,25
13:24986545-24986545,2,1,8,27
4:121287636-121287636,0,4,10,24
3:80812306-80812306,0,4,10,24
X:125586259-125586259,0,3,10,25
6:62093462-62093462,0,4,10,24
7:89064709-89064709,0,3,10,25
11:85216732-85216732,0,3,10,25
1:198791498-198791498,0,4,10,24
7:10083058-10083058,0,3,10,25
4:53404615-53404615,0,3,10,25
20:11648471-11648471,1,2,9,26
12:87716079-87716079,0,4,10,24
10:38654432-38654432,3,1,7,27
10:115223455-115223455,0,3,10,25
21:16153131-16153131,1,3,9,25
3:41114428-41114428,0,4,10,24
4:79053539-79053539,0,3,10,25
6:140230631-140230631,0,3,10,25
11:68398184-68398184,1,2,9,26
12:115514852-115514852,0,4,10,24
2:17931343-17931343,0,3,10,25
10:129597322-129597322,0,3,10,25
13:69921874-69921874,0,3,10,25
9:137996452-137996452,0,3,10,25
11:122798101-122798101,0,4,10,24
3:88885118-88885118,0,3,10,25
X:146234262-146234262,0,3,10,25
1:197300502-197300502,0,3,10,25
5:2126025-2126025,0,3,10,25
19:8535876-8535876,0,4,10,24
17:11008191-11008191,0,4,10,24
X:154437760-154437760,0,4,10,24
21:20578255-20578255,0,3,10,25
3:123020267-123020267,0,4,10,24
8:108783110-108783110,0,3,10,25
21:10143286-10143286,0,3,10,25
12:114157320-114157320,0,3,10,25
6:51805687-51805687,0,3,10,25
X:26231909-26231909,1,6,9,22
6:79406902-79406902,0,4,10,24
1:102554282-102554282,0,4,10,24
2:30833502-30833502,0,3,10,25
10:132885121-132885121,0,3,10,25
7:67940056-67940056,0,3,10,25
11:38228759-38228759,0,3,10,25
10:105992394-105992394,0,3,10,25
2:50583991-50583991,0,3,10,25
12:72822172-72822172,0,3,10,25
8:123488191-123488191,0,3,10,25
2:178809138-178809138,0,3,10,25
7:122046109-122046109,0,3,10,25
1:166306446-166306446,0,3,10,25
5:100623918-100623918,0,4,10,24
9:20707668-20707668,0,4,10,24
16:61976040-61976040,0,3,10,25
3:101346613-101346613,3,0,7,28
2:174121790-174121790,0,4,10,24
20:53201897-53201897,0,3,10,25
10:88953837-88953837,0,3,10,25
12:4620008-4620008,1,3,9,25
13:42642393-42642393,0,4,10,24
14:23126437-23126437,0,3,10,25
2:37386811-37386811,0,5,10,23
1:8500259-8500259,0,3,10,25
8:60583724-60583724,0,4,10,24
11:56283167-56283167,0,3,10,25
7:86085474-86085474,0,4,10,24
22:25566000-25566000,0,3,10,25
7:16014708-16014708,0,4,10,24
14:28183423-28183423,0,4,10,24
3:107119591-107119591,0,3,10,25
6:124831774-124831774,0,4,10,24
7:13934052-13934052,0,3,10,25
2:81822696-81822696,0,3,10,25
8:77167818-77167818,0,4,10,24
5:21253242-21253242,0,4,10,24
7:150287079-150287079,0,3,10,25
12:40768586-40768586,0,3,10,25
6:56637811-56637811,0,4,10,24
18:41522177-41522177,0,4,10,24
10:100718845-100718845,0,3,10,25
4:167818395-167818395,0,3,10,25
6:165126787-165126787,1,6,9,22
10:91635013-91635013,0,3,10,25
2:225913643-225913643,0,3,10,25
10:105721696-105721696,0,4,10,24
8:131341641-131341641,0,3,10,25
7:63459320-63459320,0,3,10,25
2:83755351-83755351,0,3,10,25
5:176219402-176219402,0,3,10,25
6:164795461-164795461,0,4,10,24
8:84734958-84734958,0,3,10,25
9:91596821-91596821,0,4,10,24
1:181673971-181673971,0,3,10,25
3:55853928-55853928,0,3,10,25
3:30241549-30241549,0,3,10,25
15:60745966-60745966,0,4,10,24
12:26232217-26232217,0,4,10,24
18:11757838-11757838,0,3,10,25
2:111825461-111825461,0,4,10,24
1:45507369-45507369,0,4,10,24
8:88174941-88174941,0,3,10,25
1:149751751-149751751,3,0,7,28
12:32501579-32501579,0,4,10,24
15:31952146-31952146,1,3,9,25
5:26656084-26656084,0,4,10,24
17:30283562-30283562,1,2,9,26
4:108879981-108879981,0,3,10,25
7:152512821-152512821,1,3,9,25
16:34484955-34484955,0,3,10,25
2:126372732-126372732,0,4,10,24
6:92508559-92508559,0,3,10,25
7:55523792-55523792,0,7,10,21
17:76279442-76279442,0,3,10,25
12:76374779-76374779,0,3,10,25
10:100549965-100549965,0,3,10,25
9:25169464-25169464,0,3,10,25
X:28911991-28911991,1,3,9,25
8:38797134-38797134,0,3,10,25
2:216861525-216861525,0,3,10,25
8:1231591-1231591,0,4,10,24
2:235763062-235763062,1,2,9,26
6:86997537-86997537,0,4,10,24
18:67821990-67821990,0,3,10,25
8:40354394-40354394,0,4,10,24
14:37446233-37446233,0,4,10,24
15:35838748-35838748,0,4,10,24
7:9661493-9661493,0,3,10,25
12:46449383-46449383,0,4,10,24
8:16488927-16488927,0,3,10,25
7:54142881-54142881,0,4,10,24
14:53633963-53633963,0,3,10,25
2:229827019-229827019,0,3,10,25
16:11206493-11206493,0,3,10,25
8:3409198-3409198,0,3,10,25
16:71045534-71045534,0,3,10,25
2:82834967-82834967,0,3,10,25
1:198099558-198099558,1,3,9,25
4:134389697-134389697,0,4,10,24
10:103485489-103485489,0,4,10,24
7:65250627-65250627,0,3,10,25
2:69165288-69165288,0,3,10,25
7:151099520-151099520,0,4,10,24
16:6859841-6859841,0,3,10,25
2:208055402-208055402,0,3,10,25
17:55933360-55933360,0,4,10,24
X:145650089-145650089,0,3,10,25
13:49470008-49470008,0,4,10,24
3:131764573-131764573,0,3,10,25
21:30139508-30139508,0,3,10,25
14:40099527-40099527,1,2,9,26
8:108317824-108317824,0,3,10,25
7:63953950-63953950,0,4,10,24
4:98085686-98085686,0,4,10,24
X:126504068-126504068,0,3,10,25
8:47792146-47792146,0,3,10,25
11:81336163-81336163,0,3,10,25
2:207275402-207275402,0,3,10,25
17:50061485-50061485,0,3,10,25
14:69071442-69071442,0,3,10,25
7:15769192-15769192,0,4,10,24
X:124746530-124746530,0,4,10,24
8:50155258-50155258,0,4,10,24
11:76832451-76832451,0,3,10,25
6:8762920-8762920,0,3,10,25
5:39671864-39671864,0,3,10,25
8:117550513-117550513,0,3,10,25
5:152297574-152297574,0,4,10,24
2:41239404-41239404,0,4,10,24
4:171720708-171720708,0,3,10,25
2:36678533-36678533,0,3,10,25
18:66711652-66711652,0,3,10,25
5:27271200-27271200,0,4,10,24
16:60573681-60573681,0,4,10,24
17:708107-708107,0,3,10,25
14:72456504-72456504,0,3,10,25
2:210030406-210030406,3,0,7,28
3:129923889-129923889,0,3,10,25
2:203328173-203328173,0,3,10,25
5:83506402-83506402,0,4,10,24
2:185280828-185280828,0,3,10,25
2:21183960-21183960,0,3,10,25
8:20489968-20489968,0,4,10,24
7:131438622-131438622,0,3,10,25
12:72446112-72446112,0,3,10,25
8:70508000-70508000,0,4,10,24
5:22641539-22641539,0,3,10,25
3:125540860-125540860,1,2,9,26
2:222492495-222492495,0,3,10,25
11:56540464-56540464,0,4,10,24
12:130990877-130990877,0,4,10,24
6:110960036-110960036,0,3,10,25
11:131789876-131789876,0,4,10,24
2:126148979-126148979,0,4,10,24
1:37699168-37699168,0,4,10,24
11:4564055-4564055,0,4,10,24
5:42366475-42366475,0,3,10,25
X:144677948-144677948,0,3,10,25
11:132123056-132123056,0,3,10,25
3:84069127-84069127,0,3,10,25
11:42048347-42048347,0,3,10,25
8:47636924-47636924,0,4,10,24
2:82745079-82745079,0,3,10,25
14:60453255-60453255,0,4,10,24
7:153109379-153109379,1,2,9,26
11:17021696-17021696,0,3,10,25
18:38906911-38906911,0,3,10,25
3:68234360-68234360,0,3,10,25
1:188787740-188787740,0,4,10,24
1:205530799-205530799,0,3,10,25
15:98126168-98126168,0,3,10,25
17:79435001-79435001,0,4,10,24
19:29427916-29427916,0,4,10,24
21:14937484-14937484,0,4,10,24
18:30938184-30938184,0,3,10,25
1:106974880-106974880,0,4,10,24
8:91807481-91807481,0,3,10,25
9:22560606-22560606,0,3,10,25
4:17539999-17539999,0,4,10,24
15:45930150-45930150,0,3,10,25
15:88047970-88047970,0,3,10,25
X:30302516-30302516,0,4,10,24
1:177652675-177652675,0,3,10,25
2:207841113-207841113,0,3,10,25
2:194789344-194789344,0,4,10,24
7:151882657-151882657,0,4,10,24
13:95538017-95538017,0,3,10,25
1:114931942-114931942,0,3,10,25
1:79593793-79593793,0,3,10,25
1:206109853-206109853,3,0,7,28
6:98267963-98267963,0,4,10,24
13:94931841-94931841,0,3,10,25
20:15947554-15947554,0,3,10,25
3:163014498-163014498,0,3,10,25
2:236183815-236183815,0,4,10,24
2:163741337-163741337,0,3,10,25
4:169364339-169364339,1,2,9,26
10:109268871-109268871,2,2,8,26
1:238996975-238996975,1,4,9,24
2:118981982-118981982,0,4,10,24
3:164521567-164521567,0,3,10,25
2:108068071-108068071,0,3,10,25
8:119345560-119345560,0,3,10,25
13:108119472-108119472,0,3,10,25
8:52619374-52619374,0,3,10,25
10:115807290-115807290,0,4,10,24
18:14710270-14710270,0,3,10,25
1:22631964-22631964,3,0,7,28
7:126752581-126752581,0,4,10,24
7:149436350-149436350,0,3,10,25
5:25572969-25572969,0,3,10,25
5:28642429-28642429,0,4,10,24
8:25585302-25585302,0,4,10,24
4:63154943-63154943,0,3,10,25
2:82635532-82635532,0,3,10,25
2:127422333-127422333,0,3,10,25
8:63053607-63053607,0,3,10,25
9:112593955-112593955,0,3,10,25
10:72497098-72497098,0,3,10,25
5:45806667-45806667,0,4,10,24
8:5983871-5983871,0,3,10,25
9:89280898-89280898,0,3,10,25
11:4349100-4349100,0,3,10,25
7:113470338-113470338,0,4,10,24
5:130177862-130177862,0,3,10,25
9:12406120-12406120,0,3,10,25
8:74189161-74189161,0,3,10,25
2:222792940-222792940,0,4,10,24
15:100345580-100345580,2,2,8,26
17:21488453-21488453,2,3,8,25
4:119401575-119401575,0,3,10,25
20:29878607-29878607,0,3,10,25
7:83884106-83884106,0,3,10,25
4:139572675-139572675,0,3,10,25
3:25280806-25280806,0,3,10,25
9:15950167-15950167,0,3,10,25
10:75726211-75726211,0,3,10,25
8:116227621-116227621,2,1,8,27
18:22597500-22597500,0,4,10,24
7:119027681-119027681,0,4,10,24
8:87964542-87964542,0,3,10,25
13:81834568-81834568,0,4,10,24
1:221165545-221165545,0,4,10,24
9:113178157-113178157,0,3,10,25
6:89280660-89280660,0,3,10,25
7:35341320-35341320,0,3,10,25
X:23866184-23866184,0,3,10,25
5:29074552-29074552,0,4,10,24
6:113723761-113723761,0,3,10,25
2:194254875-194254875,0,3,10,25
6:94818049-94818049,0,4,10,24
X:110104020-110104020,0,4,10,24
10:52354765-52354765,0,4,10,24
13:107885691-107885691,0,4,10,24
15:46165577-46165577,0,3,10,25
5:119566106-119566106,0,4,10,24
10:37527018-37527018,0,4,10,24
1:169255383-169255383,0,4,10,24
5:42149070-42149070,0,3,10,25
7:74312099-74312099,3,0,7,28
13:100628690-100628690,0,3,10,25
3:146668141-146668141,0,3,10,25
1:25984792-25984792,0,3,10,25
1:243661753-243661753,0,3,10,25
2:163741338-163741338,0,3,10,25
X:107673265-107673265,0,3,10,25
1:192387206-192387206,0,3,10,25
7:87319313-87319313,1,2,9,26
1:17123620-17123620,3,1,7,27
11:69221621-69221621,0,3,10,25
12:74512700-74512700,0,4,10,24
7:130371903-130371903,0,3,10,25
7:103569609-103569609,0,3,10,25
10:77443646-77443646,0,3,10,25
14:84326128-84326128,0,3,10,25
2:143700759-143700759,0,4,10,24
12:22119856-22119856,0,3,10,25
7:67944670-67944670,0,3,10,25
1:167480143-167480143,0,3,10,25
17:45590898-45590898,3,0,7,28
4:144710316-144710316,2,4,8,24
5:173667363-173667363,0,3,10,25
2:53815506-53815506,1,2,9,26
8:33935624-33935624,0,3,10,25
11:55400592-55400592,0,3,10,25
20:60909657-60909657,0,3,10,25
4:187452624-187452624,0,3,10,25
8:130351408-130351408,0,4,10,24
1:98160753-98160753,0,4,10,24
12:106648496-106648496,0,4,10,24
4:53076594-53076594,0,3,10,25
15:25978003-25978003,0,3,10,25
9:218065-218065,0,4,10,24
6:74855096-74855096,0,4,10,24
8:3089996-3089996,0,3,10,25
5:120002898-120002898,0,3,10,25
5:46386569-46386569,0,4,10,24
2:22223451-22223451,0,4,10,24
2:190328245-190328245,0,4,10,24
9:68821413-68821413,0,4,10,24
12:105621680-105621680,0,4,10,24
12:33303137-33303137,0,3,10,25
18:55452472-55452472,0,4,10,24
6:12068523-12068523,0,3,10,25
1:16358408-16358408,3,2,7,26
10:19773496-19773496,0,4,10,24
10:106506084-106506084,2,4,8,24
1:102237641-102237641,0,3,10,25
10:128291445-128291445,0,4,10,24
2:113202972-113202972,2,1,8,27
1:166363876-166363876,0,4,10,24
11:132845361-132845361,0,3,10,25
5:3238022-3238022,0,3,10,25
12:21543217-21543217,0,3,10,25
6:95304847-95304847,0,3,10,25
1:69462570-69462570,0,4,10,24
4:1641417-1641417,0,3,10,25
6:128420343-128420343,3,0,7,28
2:137219146-137219146,0,3,10,25
2:16973754-16973754,2,1,8,27
16:65076391-65076391,0,4,10,24
2:118426740-118426740,0,3,10,25
17:45657702-45657702,4,0,6,28
10:96699898-96699898,1,2,9,26
1:241615286-241615286,0,3,10,25
4:113955600-113955600,0,3,10,25
6:70799865-70799865,0,3,10,25
1:95755964-95755964,0,3,10,25
6:132272498-132272498,0,4,10,24
6:91391709-91391709,0,3,10,25
7:35520243-35520243,0,4,10,24
2:70993643-70993643,0,4,10,24
18:15150701-15150701,1,2,9,26
6:81315175-81315175,0,3,10,25
8:83207540-83207540,0,4,10,24
14:92263118-92263118,0,4,10,24
2:168249463-168249463,0,3,10,25
14:97344835-97344835,0,3,10,25
7:148157644-148157644,0,3,10,25
16:71247150-71247150,0,3,10,25
13:27522687-27522687,0,3,10,25
13:62447617-62447617,0,3,10,25
6:57795458-57795458,1,3,9,25
8:53923944-53923944,0,3,10,25
5:128130720-128130720,0,3,10,25
1:179505695-179505695,2,4,8,24
X:81969720-81969720,3,0,7,28
10:93800939-93800939,0,3,10,25
1:50483543-50483543,0,4,10,24
6:55769121-55769121,0,3,10,25
5:96997889-96997889,0,3,10,25
18:51310509-51310509,0,3,10,25
2:229345190-229345190,0,3,10,25
16:2594204-2594204,1,2,9,26
9:36724499-36724499,0,4,10,24
8:58741789-58741789,0,3,10,25
11:77557661-77557661,0,4,10,24
13:57143982-57143982,0,3,10,25
7:46847021-46847021,0,4,10,24
1:39447080-39447080,0,3,10,25
12:9167583-9167583,0,3,10,25
16:4391375-4391375,0,3,10,25
10:42880303-42880303,0,3,10,25
5:152789669-152789669,0,4,10,24
8:77095839-77095839,0,3,10,25
6:165117628-165117628,0,4,10,24
4:10758834-10758834,0,4,10,24
10:114816040-114816040,0,4,10,24
3:140862510-140862510,0,4,10,24
9:109213671-109213671,0,3,10,25
15:28726067-28726067,4,0,6,28
1:25719721-25719721,0,3,10,25
7:68068537-68068537,0,3,10,25
11:76619966-76619966,2,3,8,25
18:14516437-14516437,3,0,7,28
20:55624780-55624780,0,3,10,25
16:79975484-79975484,0,3,10,25
X:123460113-123460113,0,3,10,25
10:69102004-69102004,0,4,10,24
3:97846044-97846044,0,3,10,25
19:5307898-5307898,0,3,10,25
22:23798195-23798195,0,8,10,20
3:159657507-159657507,0,3,10,25
14:19359974-19359974,1,2,9,26
13:52904389-52904389,2,1,8,27
12:11036783-11036783,0,3,10,25
5:41022931-41022931,0,3,10,25
1:33883679-33883679,0,3,10,25
6:132820475-132820475,0,3,10,25
8:11037428-11037428,0,3,10,25
1:192621490-192621490,0,4,10,24
3:165896202-165896202,0,3,10,25
3:60390648-60390648,0,4,10,24
2:195964544-195964544,0,4,10,24
6:92972468-92972468,0,4,10,24
6:69861749-69861749,0,3,10,25
11:64111298-64111298,0,4,10,24
7:21453425-21453425,0,3,10,25
8:36577625-36577625,0,3,10,25
1:39842596-39842596,0,4,10,24
2:13722123-13722123,0,4,10,24
11:133335214-133335214,0,3,10,25
13:23281341-23281341,0,4,10,24
2:146549106-146549106,0,3,10,25
18:32004976-32004976,0,4,10,24
18:50944977-50944977,0,3,10,25
X:144895460-144895460,0,3,10,25
7:76250288-76250288,3,0,7,28
15:53558986-53558986,0,3,10,25
2:66468114-66468114,0,4,10,24
9:93184293-93184293,0,4,10,24
11:59646897-59646897,0,3,10,25
19:55038753-55038753,0,3,10,25
11:129710075-129710075,0,3,10,25
2:136641142-136641142,0,4,10,24
8:7214789-7214789,0,3,10,25
5:161468171-161468171,0,4,10,24
5:23040097-23040097,0,3,10,25
2:775505-775505,0,3,10,25
7:73372355-73372355,0,4,10,24
10:75726212-75726212,0,3,10,25
6:77154170-77154170,0,4,10,24
X:132117834-132117834,0,4,10,24
11:104714610-104714610,0,4,10,24
16:71016122-71016122,3,1,7,27
16:79376350-79376350,0,3,10,25
3:106844911-106844911,0,3,10,25
10:73132565-73132565,0,4,10,24
X:142200412-142200412,0,3,10,25
14:37030491-37030491,0,4,10,24
5:133690532-133690532,0,3,10,25
10:11856642-11856642,0,4,10,24
3:174688925-174688925,0,4,10,24
3:179896581-179896581,0,3,10,25
12:131781391-131781391,1,2,9,26
4:144801522-144801522,1,2,9,26
3:113518682-113518682,0,4,10,24
16:29055023-29055023,4,0,6,28
14:43375338-43375338,0,4,10,24
1:153772912-153772912,0,4,10,24
4:52833248-52833248,0,3,10,25
12:39802529-39802529,0,4,10,24
6:144091211-144091211,0,3,10,25
17:47063444-47063444,0,4,10,24
8:81324494-81324494,0,3,10,25
6:99408165-99408165,0,3,10,25
2:134377842-134377842,0,4,10,24
2:81741145-81741145,0,3,10,25
18:14849445-14849445,0,3,10,25
2:22092520-22092520,0,3,10,25
3:146792684-146792684,0,3,10,25
1:205182752-205182752,0,3,10,25
6:55993866-55993866,0,4,10,24
6:12851822-12851822,0,4,10,24
8:136296251-136296251,0,4,10,24
10:30986286-30986286,0,4,10,24
16:27821832-27821832,0,3,10,25
5:161960535-161960535,0,3,10,25
13:56684916-56684916,0,3,10,25
9:108125279-108125279,0,4,10,24
X:28762375-28762375,0,4,10,24
4:34744968-34744968,0,3,10,25
1:161735232-161735232,0,4,10,24
7:46858881-46858881,0,3,10,25
5:174331375-174331375,0,3,10,25
3:192138658-192138658,0,3,10,25
3:101457212-101457212,0,3,10,25
5:6428647-6428647,0,3,10,25
8:139759707-139759707,0,4,10,24
6:10798168-10798168,0,3,10,25
7:103137700-103137700,0,3,10,25
3:42373712-42373712,0,4,10,24
3:19055915-19055915,0,3,10,25
8:20515878-20515878,0,4,10,24
5:125657811-125657811,0,4,10,24
2:11609119-11609119,0,3,10,25
16:18603592-18603592,1,2,9,26
8:92677366-92677366,0,3,10,25
5:157701571-157701571,0,3,10,25
1:99400337-99400337,0,3,10,25
18:27543932-27543932,0,3,10,25
4:31304060-31304060,0,4,10,24
2:188458447-188458447,0,4,10,24
8:141283274-141283274,0,4,10,24
6:65711545-65711545,0,4,10,24
20:51811823-51811823,3,0,7,28
1:217832679-217832679,0,3,10,25
3:147356553-147356553,0,3,10,25
14:83490443-83490443,0,3,10,25
11:32413530-32413530,0,4,10,24
5:87688421-87688421,0,3,10,25
X:154255655-154255655,0,3,10,25
7:36025305-36025305,0,3,10,25
10:80454081-80454081,0,4,10,24
10:10326349-10326349,3,0,7,28
10:87550559-87550559,0,4,10,24
5:25936988-25936988,0,4,10,24
18:64596078-64596078,0,4,10,24
14:60271920-60271920,0,3,10,25
18:39339376-39339376,0,3,10,25
4:62080617-62080617,0,3,10,25
6:105686167-105686167,0,4,10,24
7:80349710-80349710,0,3,10,25
10:91551869-91551869,0,3,10,25
13:42050403-42050403,0,3,10,25
11:55647747-55647747,0,3,10,25
7:16017846-16017846,0,4,10,24
6:63559648-63559648,0,4,10,24
10:84966070-84966070,0,4,10,24
4:177174622-177174622,0,3,10,25
1:197576702-197576702,0,3,10,25
7:22328278-22328278,0,6,10,22
14:43265392-43265392,0,4,10,24
6:79286753-79286753,0,4,10,24
6:30950431-30950431,0,4,10,24
6:139776517-139776517,0,4,10,24
8:54029189-54029189,0,3,10,25
3:80641440-80641440,0,3,10,25
4:171530428-171530428,0,4,10,24
18:38123474-38123474,0,3,10,25
17:64267164-64267164,0,3,10,25
7:22557682-22557682,0,5,10,23
6:79122304-79122304,0,3,10,25
16:54845572-54845572,0,4,10,24
10:38319703-38319703,2,1,8,27
X:146820864-146820864,0,3,10,25
4:189534509-189534509,0,4,10,24
9:22767467-22767467,0,4,10,24
14:99233753-99233753,0,3,10,25
1:212200663-212200663,0,3,10,25
7:79549467-79549467,0,3,10,25
14:41998429-41998429,0,4,10,24
8:14760968-14760968,0,3,10,25
21:29252347-29252347,0,4,10,24
3:35120668-35120668,0,4,10,24
2:100684392-100684392,0,4,10,24
3:148277526-148277526,0,4,10,24
6:80339746-80339746,0,4,10,24
10:103912214-103912214,0,4,10,24
16:77125882-77125882,0,3,10,25
9:9457650-9457650,0,4,10,24
12:9867419-9867419,0,4,10,24
9:28609725-28609725,0,3,10,25
4:112871573-112871573,0,3,10,25
3:182001568-182001568,0,4,10,24
15:88141920-88141920,0,4,10,24
2:115837336-115837336,0,3,10,25
3:132609370-132609370,0,3,10,25
X:123820872-123820872,0,3,10,25
1:65911150-65911150,0,4,10,24
9:70655115-70655115,2,1,8,27
11:77727606-77727606,0,4,10,24
X:512955-512955,0,3,10,25
7:10286968-10286968,0,3,10,25
11:75586315-75586315,0,4,10,24
1:47008257-47008257,0,4,10,24
4:152137313-152137313,0,3,10,25
10:63249497-63249497,0,3,10,25
X:33691483-33691483,0,3,10,25
10:91791316-91791316,0,3,10,25
19:37605700-37605700,1,2,9,26
12:79268124-79268124,0,3,10,25
1:159161805-159161805,0,4,10,24
2:183559589-183559589,3,0,7,28
5:4789249-4789249,0,3,10,25
2:132625866-132625866,0,3,10,25
7:37800117-37800117,0,3,10,25
4:184425308-184425308,0,3,10,25
11:22795649-22795649,0,3,10,25
2:83155055-83155055,0,3,10,25
3:120625393-120625393,0,3,10,25
2:145247267-145247267,0,3,10,25
3:25536609-25536609,0,3,10,25
12:17460538-17460538,0,4,10,24
2:133140189-133140189,0,3,10,25
7:118377857-118377857,0,3,10,25
X:125808701-125808701,0,3,10,25
11:76866757-76866757,0,3,10,25
8:34195629-34195629,0,4,10,24
4:167804769-167804769,0,3,10,25
10:18803507-18803507,0,3,10,25
6:145581650-145581650,0,3,10,25
17:50306555-50306555,0,4,10,24
2:205239073-205239073,0,4,10,24
11:1617330-1617330,1,2,9,26
1:747794-747794,0,3,10,25
6:66843255-66843255,0,4,10,24
16:24338759-24338759,3,0,7,28
2:167228403-167228403,0,4,10,24
6:21508922-21508922,0,4,10,24
17:10234205-10234205,0,4,10,24
16:72562935-72562935,2,2,8,26
8:25093127-25093127,0,3,10,25
11:112485578-112485578,0,3,10,25
4:190379523-190379523,0,3,10,25
14:87506695-87506695,0,3,10,25
11:25259203-25259203,0,3,10,25
2:184647166-184647166,0,3,10,25
4:115047054-115047054,0,3,10,25
16:57053916-57053916,0,3,10,25
18:71286054-71286054,0,3,10,25
2:225694448-225694448,0,4,10,24
7:72129118-72129118,1,3,9,25
17:9779034-9779034,0,4,10,24
8:139602670-139602670,0,3,10,25
2:199798738-199798738,0,3,10,25
20:42800872-42800872,0,4,10,24
8:84966216-84966216,0,4,10,24
13:90969416-90969416,0,4,10,24
9:19210706-19210706,0,3,10,25
2:42356901-42356901,0,3,10,25
8:34588839-34588839,0,4,10,24
2:177513417-177513417,0,3,10,25
10:134378979-134378979,0,4,10,24
11:83435066-83435066,0,3,10,25
1:177375950-177375950,0,3,10,25
1:72072325-72072325,0,4,10,24
8:38164203-38164203,0,4,10,24
8:97216110-97216110,0,3,10,25
1:54831683-54831683,0,3,10,25
10:69292836-69292836,0,4,10,24
1:144589061-144589061,0,9,10,19
11:128627554-128627554,0,3,10,25
11:58349232-58349232,0,3,10,25
10:121272067-121272067,3,0,7,28
X:142483743-142483743,0,4,10,24
8:87815508-87815508,0,4,10,24
2:177826142-177826142,0,3,10,25
18:2932834-2932834,0,3,10,25
3:83416124-83416124,0,3,10,25
2:71864760-71864760,0,3,10,25
17:3122575-3122575,3,0,7,28
9:42542388-42542388,0,3,10,25
10:125855070-125855070,0,3,10,25
5:20307117-20307117,0,3,10,25
12:84984988-84984988,0,4,10,24
13:78797351-78797351,0,3,10,25
2:141131566-141131566,0,4,10,24
5:87942573-87942573,0,3,10,25
18:35013900-35013900,0,4,10,24
X:142679358-142679358,0,4,10,24
9:38923065-38923065,1,2,9,26
7:38395641-38395641,0,6,10,22
11:4583093-4583093,0,3,10,25
2:87237955-87237955,3,0,7,28
3:87449743-87449743,0,4,10,24
1:202948741-202948741,0,3,10,25
5:114885080-114885080,0,3,10,25
11:34195046-34195046,0,3,10,25
1:207608109-207608109,0,4,10,24
14:101781412-101781412,0,4,10,24
2:71005450-71005450,0,4,10,24
11:71375327-71375327,1,2,9,26
3:83845090-83845090,0,3,10,25
1:204946634-204946634,0,3,10,25
2:105752296-105752296,0,3,10,25
8:14401750-14401750,0,3,10,25
8:69907255-69907255,0,3,10,25
5:166016882-166016882,0,3,10,25
21:18859620-18859620,0,4,10,24
1:77378230-77378230,2,2,8,26
4:114777987-114777987,0,3,10,25
7:9306908-9306908,0,3,10,25
3:130642622-130642622,0,3,10,25
6:91995014-91995014,0,3,10,25
1:207827623-207827623,0,4,10,24
13:57083186-57083186,0,3,10,25
14:33556954-33556954,0,4,10,24
7:121956320-121956320,0,3,10,25
1:243207695-243207695,4,0,6,28
10:87646201-87646201,0,3,10,25
4:98423369-98423369,0,4,10,24
2:49823982-49823982,0,4,10,24
X:150583302-150583302,0,4,10,24
4:104821740-104821740,0,3,10,25
18:51775600-51775600,0,4,10,24
6:78910567-78910567,0,3,10,25
12:117146946-117146946,0,3,10,25
4:84120351-84120351,0,3,10,25
10:51830285-51830285,2,2,8,26
5:28730145-28730145,0,4,10,24
8:89043762-89043762,4,0,6,28
15:56210891-56210891,0,3,10,25
2:243055891-243055891,2,2,8,26
22:44431353-44431353,1,3,9,25
4:158536480-158536480,0,4,10,24
6:29113175-29113175,0,3,10,25
5:125511119-125511119,0,3,10,25
6:156158320-156158320,0,3,10,25
11:110786382-110786382,0,4,10,24
X:118264495-118264495,0,3,10,25
6:48525686-48525686,0,4,10,24
20:57458497-57458497,0,3,10,25
6:160849974-160849974,0,3,10,25
8:77322155-77322155,0,4,10,24
21:30545895-30545895,0,3,10,25
11:91065783-91065783,0,4,10,24
19:38626968-38626968,0,3,10,25
15:36879006-36879006,0,3,10,25
6:52349306-52349306,0,3,10,25
